order,slug,title,status,read_time_min,prev_slug,next_slug,file
0,00-prologue,"StayVista 기술 개발기 00: 프롤로그 - OTA에서 먼저 고정한 기술 원칙",publish-ready,2,null,04-idempotency-key,00-prologue.md
4,04-idempotency-key,"StayVista 기술 개발기 04: [핵심] Idempotency-Key를 기본값으로 만든 이유와 구현",publish-ready,3,00-prologue,10-booking-hold-concurrency,04-idempotency-key.md
10,10-booking-hold-concurrency,"StayVista 기술 개발기 10: [핵심] Booking HOLD 동시성 제어 - 조건부 UPDATE로 과판매 0 만들기",publish-ready,3,04-idempotency-key,11-booking-confirm-cancel,10-booking-hold-concurrency.md
11,11-booking-confirm-cancel,"StayVista 기술 개발기 11: [핵심] Booking CONFIRM/CANCEL - 상태 전이와 재고 복구를 안전하게 만드는 법",publish-ready,2,10-booking-hold-concurrency,16-db-retry-executor,11-booking-confirm-cancel.md
16,16-db-retry-executor,"StayVista 기술 개발기 16: [핵심] DB 재시도 전략 - deadlock/lock wait를 실패가 아니라 제어 가능한 상태로",publish-ready,2,11-booking-confirm-cancel,17-outbox-relay,16-db-retry-executor.md
17,17-outbox-relay,"StayVista 기술 개발기 17: [핵심] Outbox Relay - DB 정합성과 이벤트 발행을 함께 지키는 방법",publish-ready,3,16-db-retry-executor,18-queue-backpressure,17-outbox-relay.md
18,18-queue-backpressure,"StayVista 기술 개발기 18: [핵심] Queue Backpressure - 오픈런에서 쓰기 API를 보호하는 구조",publish-ready,2,17-outbox-relay,19-rate-limit-abuse,18-queue-backpressure.md
19,19-rate-limit-abuse,"StayVista 기술 개발기 19: [핵심] Rate Limit + Abuse 방어 - 단순 쿼터를 넘어선 트래픽 제어",publish-ready,2,18-queue-backpressure,30-search-v2-engine,19-rate-limit-abuse.md
30,30-search-v2-engine,"StayVista 기술 개발기 30: Search v2 엔진 - 필터/정렬/가용성 조건을 한 번에 다루는 쿼리 설계",publish-ready,2,19-rate-limit-abuse,31-opensearch-fallback,30-search-v2-engine.md
31,31-opensearch-fallback,"StayVista 기술 개발기 31: OpenSearch 우선 + DB Fallback - 검색 신뢰성을 올리는 이중 경로 설계",publish-ready,2,30-search-v2-engine,33-facet-engine-server-driven,31-opensearch-fallback.md
33,33-facet-engine-server-driven,"StayVista 기술 개발기 33: Facet Engine - 서버 주도 필터 구성을 선택한 이유",publish-ready,2,31-opensearch-fallback,34-price-calendar-fallback-fx,33-facet-engine-server-driven.md
34,34-price-calendar-fallback-fx,"StayVista 기술 개발기 34: [핵심] Price Calendar - Place 정규화, City Fallback, FX 변환까지 한 번에 처리하기",publish-ready,2,33-facet-engine-server-driven,36-search-copilot-filters,34-price-calendar-fallback-fx.md
36,36-search-copilot-filters,"StayVista 기술 개발기 36: Search Copilot - Facet 기반 필터 추천과 LLM Degrade 설계",publish-ready,2,34-price-calendar-fallback-fx,39-autocomplete-degrade,36-search-copilot-filters.md
39,39-autocomplete-degrade,"StayVista 기술 개발기 39: Unified Autocomplete - OpenSearch 장애를 흡수하는 degrade 설계",publish-ready,2,36-search-copilot-filters,50-chat-routing-policy,39-autocomplete-degrade.md
50,50-chat-routing-policy,"StayVista 기술 개발기 50: [핵심] Chat Routing Policy - TEMPLATE/LLM/CLARIFY를 나누는 기준",publish-ready,2,39-autocomplete-degrade,51-llm-execution-gate,50-chat-routing-policy.md
51,51-llm-execution-gate,"StayVista 기술 개발기 51: [핵심] LLM Execution Gate - 동시성 제한과 대기열 거절을 명시적으로 다루기",publish-ready,2,50-chat-routing-policy,52-llm-budget-controller,51-llm-execution-gate.md
52,52-llm-budget-controller,"StayVista 기술 개발기 52: [핵심] LLM Budget Controller - p99를 보호하기 위한 Adaptive Degrade",publish-ready,2,51-llm-execution-gate,53-llm-model-registry-fallback,52-llm-budget-controller.md
53,53-llm-model-registry-fallback,"StayVista 기술 개발기 53: [핵심] LLM Model Registry + Fallback - 모델 전환을 코드 변경 없이 제어하기",publish-ready,2,52-llm-budget-controller,54-structured-output-repair,53-llm-model-registry-fallback.md
54,54-structured-output-repair,"StayVista 기술 개발기 54: [핵심] Structured Output + Repair - LLM JSON 실패를 검증 가능한 오류로 바꾸는 방법",publish-ready,2,53-llm-model-registry-fallback,55-memory-preference-rerank,54-structured-output-repair.md
55,55-memory-preference-rerank,"StayVista 기술 개발기 55: [핵심] Memory + Preference Rerank - 대화 맥락과 취향을 응답 품질로 연결하는 레이어",publish-ready,2,54-structured-output-repair,56-citation-verifier-grounding,55-memory-preference-rerank.md
56,56-citation-verifier-grounding,"StayVista 기술 개발기 56: [핵심] Citation Verifier - ""근거 없는 확신""을 차단하는 마지막 안전장치",publish-ready,2,55-memory-preference-rerank,57-chat-safety-guardrails,56-citation-verifier-grounding.md
57,57-chat-safety-guardrails,"StayVista 기술 개발기 57: Chat Safety Guardrails - 프롬프트 공격과 과도 확신 응답을 막는 다층 방어",publish-ready,2,56-citation-verifier-grounding,58-pii-redaction-pipeline,57-chat-safety-guardrails.md
58,58-pii-redaction-pipeline,"StayVista 기술 개발기 58: PII Redaction Pipeline - 민감정보를 저장/로그/실험 경로에서 제거하는 방법",publish-ready,2,57-chat-safety-guardrails,59-shadow-run-evaluation,58-pii-redaction-pipeline.md
59,59-shadow-run-evaluation,"StayVista 기술 개발기 59: [핵심] Shadow Run - 실험 트래픽으로 모델/프롬프트를 검증하는 안전한 방식",publish-ready,2,58-pii-redaction-pipeline,60-semantic-cache-singleflight,59-shadow-run-evaluation.md
60,60-semantic-cache-singleflight,"StayVista 기술 개발기 60: Semantic Cache + Singleflight - LLM 호출 중복을 줄이는 캐시 계층",publish-ready,2,59-shadow-run-evaluation,61-prompt-registry-experiment-rollout,60-semantic-cache-singleflight.md
61,61-prompt-registry-experiment-rollout,"StayVista 기술 개발기 61: [핵심] Prompt Registry + Experiment Rollout - 프롬프트를 버전 관리 가능한 자산으로 관리하기",publish-ready,2,60-semantic-cache-singleflight,62-copilot-orchestrator,61-prompt-registry-experiment-rollout.md
62,62-copilot-orchestrator,"StayVista 기술 개발기 62: [핵심] AI Copilot Orchestrator - 검색/가격/상세/재고 툴체인을 조합하는 방식",publish-ready,2,61-prompt-registry-experiment-rollout,63-handoff-advisor,62-copilot-orchestrator.md
63,63-handoff-advisor,"StayVista 기술 개발기 63: [핵심] Handoff Advisor - 대화 의도를 검색 필터로 변환하는 레이어",publish-ready,2,62-copilot-orchestrator,64-rag-index-builder-incremental,63-handoff-advisor.md
64,64-rag-index-builder-incremental,"StayVista 기술 개발기 64: [핵심] RAG Index Builder - Full/Incremental 빌드와 해시 기반 동기화",publish-ready,2,63-handoff-advisor,65-hybrid-ranker-curation,64-rag-index-builder-incremental.md
65,65-hybrid-ranker-curation,"StayVista 기술 개발기 65: [핵심] Hybrid Ranker + Curation - 벡터/키워드/신선도/수동개입을 결합한 랭킹",publish-ready,2,64-rag-index-builder-incremental,66-chat-streaming-sse-contract,65-hybrid-ranker-curation.md
66,66-chat-streaming-sse-contract,"StayVista 기술 개발기 66: [핵심] Chat Streaming SSE 계약 - meta/token/done/error를 분리한 이유",publish-ready,2,65-hybrid-ranker-curation,67-llm-client-timeout-streaming,66-chat-streaming-sse-contract.md
67,67-llm-client-timeout-streaming,"StayVista 기술 개발기 67: [핵심] LLM Client 안정성 설계 - Soft/Hard Timeout, Streaming Cancel, 에러 분류",publish-ready,2,66-chat-streaming-sse-contract,68-widget-session-snapshot-hardening,67-llm-client-timeout-streaming.md
68,68-widget-session-snapshot-hardening,"StayVista 기술 개발기 68: [핵심] Widget Session Snapshot - 상태 저장을 안전하게 만드는 스키마/크기/PII 방어",publish-ready,2,67-llm-client-timeout-streaming,69-llm-health-ready-probe,68-widget-session-snapshot-hardening.md
69,69-llm-health-ready-probe,"StayVista 기술 개발기 69: [핵심] LLM Health/Ready Probe - ""살아있음""과 ""준비됨""을 분리해서 보는 이유",publish-ready,2,68-widget-session-snapshot-hardening,70-observability-slo,69-llm-health-ready-probe.md
70,70-observability-slo,"StayVista 기술 개발기 70: [핵심] 로컬 메트릭 계측 설계 - 회귀를 빠르게 잡는 최소 계측",publish-ready,3,69-llm-health-ready-probe,71-telemetry-event-contract,70-observability-slo.md
71,71-telemetry-event-contract,"StayVista 기술 개발기 71: [핵심] Telemetry Event Contract - 입력 검증과 메트릭 매핑을 서버에서 강제하기",publish-ready,3,70-observability-slo,72-grafana-dashboard-correlation,71-telemetry-event-contract.md
72,72-grafana-dashboard-correlation,"StayVista 기술 개발기 72: [핵심] 메트릭 상관분석 패턴 - 증상에서 원인까지 빠르게 좁히는 방법",publish-ready,3,71-telemetry-event-contract,73-alerting-burn-rate,72-grafana-dashboard-correlation.md
73,73-alerting-burn-rate,"StayVista 기술 개발기 73: [핵심] 회귀 판정식과 Burn-Rate - 노이즈를 줄이는 비율 계산",publish-ready,3,72-grafana-dashboard-correlation,74-local-alert-smoke-checklist,73-alerting-burn-rate.md
74,74-local-alert-smoke-checklist,"StayVista 기술 개발기 74: [핵심] 로컬 메트릭 스모크 검증 - 판정식 실행 가능성 확인",publish-ready,3,73-alerting-burn-rate,75-k6-loadtest-regression-gate,74-staging-alert-smoke-release-runbook.md
75,75-k6-loadtest-regression-gate,"StayVista 기술 개발기 75: [핵심] k6 부하테스트 기준선 - 로컬 회귀를 수치로 판정하기",publish-ready,3,74-local-alert-smoke-checklist,76-auth-session-guardrails,75-k6-loadtest-release-gate.md
76,76-auth-session-guardrails,"StayVista 기술 개발기 76: [확장] 인증/세션 경계 - AuthGuardFilter와 Redis 세션 설계",publish-ready,3,75-k6-loadtest-regression-gate,77-locale-fx-price-pipeline,76-auth-session-guardrails.md
77,77-locale-fx-price-pipeline,"StayVista 기술 개발기 77: [확장] Locale + FX 파이프라인 - 국가/언어 추론과 가격 통화 변환",publish-ready,3,76-auth-session-guardrails,78-home-property-content-backing,77-locale-fx-price-pipeline.md
78,78-home-property-content-backing,"StayVista 기술 개발기 78: [확장] 홈/숙소 콘텐츠 DB 백킹 - 정적 화면을 데이터 기반으로 전환한 구조",publish-ready,3,77-locale-fx-price-pipeline,79-promotion-coupon-claim-concurrency,78-home-property-content-backing.md
79,79-promotion-coupon-claim-concurrency,"StayVista 기술 개발기 79: [확장] 프로모션 쿠폰 발급 - 중복 발급과 수량 초과를 막는 트랜잭션 설계",publish-ready,3,78-home-property-content-backing,80-ticket-order-voucher-flow,79-promotion-coupon-claim-concurrency.md
80,80-ticket-order-voucher-flow,"StayVista 기술 개발기 80: [확장] 티켓 주문/바우처 파이프라인 - HOLD, CONFIRM, 비동기 발급까지",publish-ready,3,79-promotion-coupon-claim-concurrency,81-package-saga-compensation,80-ticket-order-voucher-flow.md
81,81-package-saga-compensation,"StayVista 기술 개발기 81: [확장] 패키지 오케스트레이션 - Booking/Ticket 결합과 보상 트랜잭션",publish-ready,3,80-ticket-order-voucher-flow,82-poi-nearby-geohash-rate-limit,81-package-saga-compensation.md
82,82-poi-nearby-geohash-rate-limit,"StayVista 기술 개발기 82: [확장] POI Nearby 엔진 - geohash 후보 축소, 정렬 전략, 토큰버킷 제한",publish-ready,3,81-package-saga-compensation,83-my-reservation-inquiry-apis,82-poi-nearby-geohash-rate-limit.md
83,83-my-reservation-inquiry-apis,"StayVista 기술 개발기 83: [확장] My 페이지 API - 예약 통합 조회와 고객문의 모델링",publish-ready,3,82-poi-nearby-geohash-rate-limit,84-autocomplete-feedback-loop,83-my-reservation-inquiry-apis.md
